"state","biggest_county_by_votes_cast","county_votes_cast","rank_by_votes_cast","all_possible_county_votes","county_winner","county_winner_votes","state_winner","elections_county_anomaly"
Alabama,Jefferson County,325848,1,325848,Joe Biden,181688,Donald Trump,true
Alaska,ED 28,25580,1,25580, Write-ins,12831,Donald Trump,true
Arizona,Maricopa County,2069475,1,2068144,Joe Biden,1040774,Joe Biden,false
Arkansas,Pulaski County,169956,1,169956,Joe Biden,101947,Donald Trump,true
California,Los Angeles County,4263443,1,4263443,Joe Biden,3028885,Joe Biden,false
Colorado,Denver County,393827,1,393827,Joe Biden,313293,Joe Biden,false
Connecticut,Stamford,59412,1,59412,Joe Biden,40437,Joe Biden,false
Delaware,New Castle County,287633,1,287633,Joe Biden,195034,Joe Biden,false
District of Columbia,Ward 6,62918,1,62918,Joe Biden,56719,Joe Biden,false
Florida,Miami-Dade County,1156816,1,1156816,Joe Biden,617864,Donald Trump,true
Georgia,Fulton County,523779,1,524659,Joe Biden,380212,Joe Biden,false
Hawaii,Honolulu County,382114,1,382114,Joe Biden,238869,Joe Biden,false
Idaho,Ada County,259389,1,259389,Donald Trump,130699,Donald Trump,false
Illinois,Cook County,2321399,1,2417649,Joe Biden,1725973,Joe Biden,false
Indiana,Marion County,389619,1,390854,Joe Biden,247772,Donald Trump,true
Iowa,Polk County,258755,1,258755,Joe Biden,146250,Donald Trump,true
Kansas,Johnson County,349386,1,340000,Joe Biden,184259,Donald Trump,true
Kentucky,Jefferson County,386629,1,386961,Joe Biden,228358,Donald Trump,true
Louisiana,East Baton Rouge Parish,208182,1,208182,Joe Biden,115577,Donald Trump,true
Maine,Portland,41544,1,41569,Joe Biden,33786,Joe Biden,false
Maryland,Montgomery County,533743,1,533743,Joe Biden,419569,Joe Biden,false
Massachusetts,Boston,293796,1,293796,Joe Biden,242717,Joe Biden,false
Michigan,Wayne County,872469,1,872469,Joe Biden,597170,Joe Biden,false
Minnesota,Hennepin County,755969,1,788773,Joe Biden,532623,Joe Biden,false
Mississippi,Hinds County,100191,1,117140,Joe Biden,73550,Donald Trump,true
Missouri,St. Louis County,536446,1,536446,Joe Biden,328151,Donald Trump,true
Montana,Yellowstone County,83821,1,84109,Donald Trump,50772,Donald Trump,false
Nebraska,Douglas County,276540,1,274951,Joe Biden,150350,Donald Trump,true
Nevada,Clark County,972510,1,972510,Joe Biden,521852,Joe Biden,false
New Hampshire,Manchester,52606,1,52606,Joe Biden,29464,Joe Biden,false
New Jersey,Bergen County,497460,1,497460,Joe Biden,285967,Joe Biden,false
New Mexico,Bernalillo County,317590,1,317590,Joe Biden,193757,Joe Biden,false
New York,Kings County,913690,1,913246,Joe Biden,703310,Joe Biden,false
North Carolina,Wake County,631830,1,631830,Joe Biden,393336,Donald Trump,true
North Dakota,Cass County,86053,1,86053,Donald Trump,42619,Donald Trump,false
Ohio,Franklin County,630577,1,630577,Joe Biden,409144,Donald Trump,true
Oklahoma,Oklahoma County,294740,1,294740,Donald Trump,145050,Donald Trump,false
Oregon,Multnomah County,463659,1,463659,Joe Biden,367249,Joe Biden,false
Pennsylvania,Philadelphia County,741377,1,741377,Joe Biden,603790,Joe Biden,false
Rhode Island,Providence,57167,1,56853,Joe Biden,45941,Joe Biden,false
South Carolina,Greenville County,258155,1,258155,Donald Trump,150021,Donald Trump,false
South Dakota,Minnehaha County,92326,1,92326,Donald Trump,49249,Donald Trump,false
Tennessee,Shelby County,382055,1,382055,Joe Biden,246105,Donald Trump,true
Texas,Harris County,1640818,1,1640818,Joe Biden,918193,Donald Trump,true
Utah,Salt Lake County,541175,1,540966,Joe Biden,289906,Donald Trump,true
Vermont,Burlington,22218,1,22218,Joe Biden,19238,Joe Biden,false
Virginia,Fairfax County,600823,1,600823,Joe Biden,419943,Joe Biden,false
Washington,King County,1210507,1,1210507,Joe Biden,907310,Joe Biden,false
West Virginia,Kanawha County,82244,1,82244,Donald Trump,46398,Donald Trump,false
Wisconsin,Milwaukee County,458971,1,458971,Joe Biden,317270,Joe Biden,false
Wyoming,Laramie County,44982,1,44982,Donald Trump,27891,Donald Trump,false
